col0,col1,col2,col3,col4,col5
9683 MS:2286 M:5 H:0,,,,,
18,1,7.0,4.0,0.0,3.0
94,31,20.0,49.0,15.0,4.0
20,4,4.0,14.0,47.0,5.0
15,9,13.0,17.0,16.0,26.0
7,0,3.0,3.0,0.0,1.0
149,87,103.0,90.0,79.0,105.0
102,56,58.0,63.0,80.0,233.0
36,25,26.0,46.0,65.0,144.0
12,15,12.0,32.0,60.0,83.0
4,12,10.0,34.0,64.0,8.0
0,32,32.0,34.0,57.0,6.0
5,17,38.0,49.0,66.0,6.0
6,28,45.0,50.0,42.0,6.0
12,62,82.0,64.0,38.0,8.0
19,122,104.0,67.0,58.0,12.0
26,185,96.0,104.0,66.0,16.0
4,0,0.0,0.0,0.0,0.0
0,4,4.0,0.0,4.0,8.0
9684 MS:2317 M:5 H:0,,,,,
18,1,7.0,4.0,0.0,6.0
95,32,21.0,49.0,16.0,5.0
20,4,4.0,14.0,49.0,6.0
15,15,0.0,19.0,16.0,26.0
0,0,7.0,0.0,3.0,7.0
149,88,104.0,90.0,78.0,116.0
105,57,58.0,63.0,80.0,233.0
37,26,27.0,46.0,66.0,146.0
12,15,13.0,33.0,60.0,84.0
0,6,10.0,35.0,65.0,9.0
7,35,38.0,39.0,48.0,2.0
6,18,38.0,49.0,62.0,7.0
6,27,44.0,50.0,42.0,6.0
12,62,83.0,65.0,39.0,8.0
19,123,104.0,67.0,59.0,13.0
27,186,95.0,103.0,66.0,16.0
8,0,3.0,8.0,0.0,1.0
0,0,0.0,0.0,11.0,0.0
9685 MS:2348 M:5 H:0,,,,,
20,2,8.0,4.0,1.0,6.0
98,33,21.0,49.0,16.0,5.0
6,3,4.0,14.0,48.0,5.0
15,9,7.0,19.0,3.0,18.0
0,0,0.0,0.0,0.0,0.0
149,87,103.0,90.0,79.0,118.0
106,56,57.0,64.0,81.0,235.0
38,26,27.0,47.0,66.0,147.0
13,15,13.0,33.0,61.0,84.0
4,10,16.0,42.0,64.0,16.0
7,34,32.0,41.0,71.0,6.0
6,17,38.0,49.0,62.0,7.0
7,28,45.0,50.0,42.0,6.0
13,63,83.0,65.0,39.0,9.0
19,123,103.0,68.0,59.0,13.0
31,190,89.0,107.0,64.0,17.0
0,0,7.0,0.0,3.0,6.0
0,0,0.0,0.0,0.0,0.0
9686 MS:2379 M:5 H:0,,,,,
20,2,9.0,5.0,0.0,3.0
96,33,21.0,49.0,16.0,6.0
19,7,0.0,7.0,49.0,0.0
16,10,15.0,19.0,18.0,27.0
0,0,0.0,0.0,0.0,0.0
149,88,104.0,90.0,80.0,119.0
107,57,58.0,64.0,82.0,235.0
37,26,27.0,48.0,66.0,147.0
1,7,12.0,32.0,55.0,84.0
5,12,9.0,37.0,66.0,14.0
7,34,31.0,41.0,58.0,7.0
6,18,38.0,49.0,62.0,7.0
6,27,45.0,50.0,42.0,5.0
12,62,83.0,64.0,38.0,8.0
17,127,96.0,66.0,59.0,12.0
